Laura Bailey,INTJ,SDSF
Travis Willingham,ESFJ,UDSF
Herbie Hancock,INTP
Ne-Yo,ISTJ
Jason Linett,ENFP
Seamus Heaney,INTP
Anthony Hopkins,INTJ
Marina Diamandis,INTJ
Hayley Atwell,ISTP,UDSF
Anna Cramling,INTJ,SDSF
Rod Boothroyd,INFP
Forbes Riley,ENTJ
1stman,INFJ
Kane Pixel (backrooms),ISFJ
Lars Frederiksen,ESTP
Kristen Patterson,ISFP
Reafe Anderson,ISFJ
Wentworth Miller,ISTP,SDUF
Halsey,INTJ
Robert Winston,INTP
Devin Haney,ISFP
Dave Rossi,ESFP
Harry Mack,ENTP
Cole Gordon,ENTP
Srila Sridhar Maharaj,INTJ
Roald Dahl,ESTJ
Peter Caine,ENTP
Jayalalithaa,INFP
Angela Gossow,ENTJ
Vivek Ramaswamy,ISTJ
Bryson Tiller,ISFP
Gay Hendricks,INTP
John McWhorter,ENFJ
John Mayer,ENTP
Zak Roedde,ENTP,SDSF
Emiru,ENTJ,SDUF
Theo Von,ISFP
Taliesin Jaffe,INTP
Dolph Lundgren,ESTJ
Todd Howard,ENTP
Joel Klatt,ISTP
Rod Serling,INTP,UDSF
Tammy Peterson,INFJ
Nathalie Kelly,INTJ,SDUF
Terry Jones,ENTP
Dan Koe,INFJ
Danny LoPriore,ESFP,UDUF
Ricky Gervais,INTJ
Florence Pugh,ESTP
Nia Kajumulo,ESFP,SDSF
Chris Hansen,ENTJ
Ray Kurzweil,INTP
Till Lindemann,ESTP
Katt Williams,ENFP
Ken Jennings,ISTJ,SDSF
Shannon Bream,INTJ
Stanely Kubrick,INTP,UDUF
David Byrne,INFP
John Carmack,INTP
Luke Smith,ESTP
Asa Butterfield,ISFJ
George Hotz,ENTP,SDSF
Myron Golden,ENFJ
Vivienne Medrano,ESFP
Stephen Fry,ESTJ
Vince Everett Ellison,ENFJ
Sandy Petersen,INTP
Garry Kasparov,INTJ
James Hetfield,ISTP
Shel Silverstein,ISFP
Leni Klum,ESFP
Sam Riegel,ISFJ
Ranbir Kapoor,INTJ
Tim Roth,ENTP,SDUF

Al Gore,ESTJ
Amal Clooney,ESTJ
Andy from KillYourInnerLoser,ESTJ
Arsene Wenger,ESTJ
Ashley Johnson,ESTJ
Barack Obama,ESTJ
Bono,ESTJ
Brad Pitt,ESTJ
Brian Tracy,ESTJ
Caitlyn Jenner,ESTJ
Chelsey Sully Sullenberger,ESTJ
Chuck Palahniuk,ESTJ
Clive Owen,ESTJ
Craig Counsell,ESTJ
Daniel Craig,ESTJ
Dr. Phil,ESTJ
Drew Scott,ESTJ
E. Michael Jones,ESTJ
Elizabeth Holmes,ESTJ
Elizabeth Olsen,ESTJ
Eric Weinstein,ESTJ
Gal Gadot,ESTJ
George Clooney,ESTJ
Giancarlo Esposito,ESTJ
Greg Doucette,ESTJ
Greg Graffin,ESTJ
Henry Cavill,ESTJ
Hugh Grant,ESTJ
Ivanka Trump,ESTJ
Jeff Bezos,ESTJ
Jennifer Lopez (J Lo),ESTJ
Jeremy Corbyn,ESTJ
Joe Kenda,ESTJ
John MacArthur (Pastor),ESTJ
John Slattery,ESTJ
Justin Trudeau,ESTJ
Justin Waller,ESTJ
Kayleigh McEnany,ESTJ
Kendall Jenner,ESTJ
Liam Neeson,ESTJ
Lili Reinhart,ESTJ
Lloyd Evans,ESTJ
Malcolm Turnbull,ESTJ
Mariah Carey,ESTJ
Matt Best,ESTJ
Matthew Fox,ESTJ
Maury Povich,ESTJ
Mia Wasikowska,ESTJ
Mike McCarthy,ESTJ
Mike Thurston,ESTJ
Peter Capaldi,ESTJ
Peyton Manning,ESTJ
Piers Morgan,ESTJ
Queen Ranja of Jordan,ESTJ
RFK Jr.,ESTJ
Rishi Sunak,ESTJ
Roger Federer,ESTJ
Selena Gomez,ESTJ
Steve Pieczenik,ESTJ
Steven Greer,ESTJ
Stewart Copeland,ESTJ
Tom Brady,ESTJ
Tulsi Gabbard,ESTJ
Victoria Justice,ESTJ
Aaron Rodgers,ESTP
Adam22,ESTP
Alex Hormozi,ESTP
Amber Rose,ESTP
Amy Lee,ESTP
Andrew Callaghan,ESTP
Anthony Jeselnick,ESTP
Anton LaVey,ESTP
Austin Dunham,ESTP
Bones,ESTP
Casey Zander,ESTP
Celine Dion,ESTP
Charlemangne tha god,ESTP
Chloe (Chloe x Halle),ESTP
Chris Deoudes,ESTP
Chris Hemsworth,ESTP
Chris Jericho,ESTP
Christian Guzman,ESTP
Corey Taylor,ESTP
Courtney Love,ESTP
Dimebag Darrell Abbott,ESTP
Drake,ESTP
Dwayne 'The Rock' Johnson,ESTP
Eddie Van Halen,ESTP
Eric Johnson,ESTP
Frank Zappa,ESTP
Gigi Hadid,ESTP
Hailee Steinfeld,ESTP
Hasan Piker,ESTP
Henry Rollins,ESTP
Howard Stern,ESTP
Hugh Jackman,ESTP
Ian Somerhalder,ESTP
Jamie Foxx,ESTP
Jennifer Connelly,ESTP
Jesse Ventura,ESTP
Joe Rogan,ESTP
Johnny Cash,ESTP
Joji (Filthy Frank),ESTP
Josh Brolin,ESTP
Laura Jane Grace,ESTP
Lebron James,ESTP
Markiplier,ESTP
Matthew McConaughey,ESTP
